
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.56861e-12       6.71171e-14       2.26781e-15       1.96743e-15       4.88847e-01       3.98223e-02       4.88847e-01      
 9.00000e-03       2.10236e-12       8.26364e-14       2.25874e-15       2.63720e-15       4.88847e-01       3.98224e-02       4.88847e-01      
 1.80000e-02       2.81757e-12       1.03835e-13       2.25006e-15       3.53486e-15       4.88847e-01       3.98224e-02       4.88847e-01      
 2.70000e-02       3.77584e-12       1.32601e-13       2.24177e-15       4.73785e-15       4.88847e-01       3.98225e-02       4.88847e-01      
 3.60000e-02       5.05964e-12       1.71468e-13       2.23391e-15       6.34991e-15       4.88847e-01       3.98225e-02       4.88847e-01      
 4.50000e-02       6.77932e-12       2.23833e-13       2.22651e-15       8.50997e-15       4.88847e-01       3.98226e-02       4.88847e-01      
 5.40000e-02       9.08254e-12       2.94245e-13       2.21962e-15       1.14040e-14       4.88847e-01       3.98228e-02       4.88847e-01      
 6.30000e-02       1.21668e-11       3.88798e-13       2.21328e-15       1.52811e-14       4.88847e-01       3.98229e-02       4.88847e-01      
 7.20000e-02       1.62960e-11       5.15650e-13       2.20758e-15       2.04742e-14       4.88847e-01       3.98232e-02       4.88847e-01      
 8.10000e-02       2.18231e-11       6.85715e-13       2.20259e-15       2.74292e-14       4.88847e-01       3.98235e-02       4.88847e-01      
 9.00000e-02       2.92189e-11       9.13594e-13       2.19843e-15       3.67420e-14       4.88847e-01       3.98239e-02       4.88847e-01      
 9.90000e-02       3.91123e-11       1.21880e-12       2.19521e-15       4.92093e-14       4.88847e-01       3.98245e-02       4.88847e-01      
 1.08000e-01       5.23416e-11       1.62742e-12       2.19310e-15       6.58951e-14       4.88847e-01       3.98252e-02       4.88847e-01      
 1.17000e-01       7.00233e-11       2.17426e-12       2.19229e-15       8.82204e-14       4.88847e-01       3.98263e-02       4.88847e-01      
 1.26000e-01       9.36408e-11       2.90578e-12       2.19293e-15       1.18080e-13       4.88847e-01       3.98276e-02       4.88847e-01      
 1.35000e-01       1.25164e-10       3.88385e-12       2.19529e-15       1.57999e-13       4.88847e-01       3.98294e-02       4.88847e-01      
 1.44000e-01       1.67211e-10       5.19091e-12       2.19975e-15       2.11336e-13       4.88847e-01       3.98319e-02       4.88847e-01      
 1.53000e-01       2.23247e-10       6.93657e-12       2.20668e-15       2.82562e-13       4.88847e-01       3.98351e-02       4.88847e-01      
 1.62000e-01       2.97847e-10       9.26643e-12       2.21650e-15       3.77608e-13       4.88847e-01       3.98394e-02       4.88847e-01      
