
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       3.18950e-05      -2.48555e-05       1.23032e-14       4.40793e-07      -4.46016e-01      -1.24558e+00      -4.46016e-01      
 9.00000e-02       3.05267e-05      -2.20459e-05       1.22907e-14       3.77231e-07      -4.46016e-01      -1.15362e+00      -4.46016e-01      
 1.80000e-01       2.90745e-05      -1.93632e-05       1.22753e-14       3.22458e-07      -4.46016e-01      -1.06363e+00      -4.46016e-01      
 2.70000e-01       2.75355e-05      -1.68151e-05       1.22570e-14       2.74165e-07      -4.46016e-01      -9.75518e-01      -4.46016e-01      
 3.60000e-01       2.59055e-05      -1.44095e-05       1.22352e-14       2.31127e-07      -4.46016e-01      -8.89221e-01      -4.46016e-01      
 4.50000e-01       2.41800e-05      -1.21550e-05       1.22085e-14       1.92626e-07      -4.46016e-01      -8.04671e-01      -4.46016e-01      
 5.40000e-01       2.23542e-05      -1.00602e-05       1.21753e-14       1.58204e-07      -4.46016e-01      -7.21804e-01      -4.46016e-01      
 6.30000e-01       2.04234e-05      -8.13436e-06       1.21334e-14       1.27551e-07      -4.46016e-01      -6.40559e-01      -4.46016e-01      
 7.20000e-01       1.83825e-05      -6.38725e-06       1.20794e-14       1.00446e-07      -4.46016e-01      -5.60883e-01      -4.46016e-01      
 8.10000e-01       1.62253e-05      -4.82901e-06       1.20079e-14       7.67274e-08      -4.46016e-01      -4.82737e-01      -4.46016e-01      
 9.00000e-01       1.39434e-05      -3.47045e-06       1.19090e-14       5.62797e-08      -4.46016e-01      -4.06121e-01      -4.46016e-01      
 9.90000e-01       1.15238e-05      -2.32334e-06       1.17611e-14       3.90266e-08      -4.46016e-01      -3.31135e-01      -4.46016e-01      
 1.08000e+00       8.95216e-06      -1.40075e-06       1.15104e-14       2.49361e-08      -4.46016e-01      -2.58155e-01      -4.46016e-01      
 1.17000e+00       6.23720e-06      -7.16362e-07       1.10145e-14       1.40310e-08      -4.46016e-01      -1.88298e-01      -4.46016e-01      
 1.26000e+00       3.52100e-06      -2.78454e-07       9.92498e-15       6.38178e-09      -4.46016e-01      -1.24576e-01      -4.46016e-01      
 1.35000e+00       1.29567e-06      -6.82123e-08       7.74410e-15       1.98313e-09      -4.46016e-01      -7.39943e-02      -4.46016e-01      
 1.44000e+00       2.30408e-07      -9.10734e-09       4.96949e-15       3.33076e-10      -4.46016e-01      -4.71296e-02      -4.46016e-01      
 1.53000e+00       2.25758e-08      -7.78221e-10       3.38531e-15       3.08609e-11      -4.46016e-01      -4.08764e-02      -4.46016e-01      
 1.62000e+00       1.60173e-09      -5.29837e-11       3.01205e-15       2.09643e-12      -4.46016e-01      -4.02447e-02      -4.46016e-01      
 1.71000e+00       9.96208e-11      -4.65988e-12       3.01149e-15       1.28525e-13      -4.46016e-01      -4.02014e-02      -4.46016e-01      
 1.80000e+00       5.97141e-12      -2.69764e-12       3.10470e-15       7.68023e-15      -4.46016e-01      -4.01988e-02      -4.46016e-01      
