
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd    getData("M0:vt

 0.00000e+00       1.48550e-12       6.70125e-14       1.08889e-14       1.34462e-15       5.17531e-01       4.02129e-02       5.17531e-01      
 9.00000e-03       1.99178e-12       8.25491e-14       1.08395e-14       1.80305e-15       5.17531e-01       4.02129e-02       5.17531e-01      
 1.80000e-02       2.67049e-12       1.03380e-13       1.07917e-14       2.41770e-15       5.17531e-01       4.02129e-02       5.17531e-01      
 2.70000e-02       3.58031e-12       1.31309e-13       1.07456e-14       3.24177e-15       5.17531e-01       4.02130e-02       5.17531e-01      
 3.60000e-02       4.79982e-12       1.68752e-13       1.07013e-14       4.34657e-15       5.17531e-01       4.02130e-02       5.17531e-01      
 4.50000e-02       6.43427e-12       2.18947e-13       1.06587e-14       5.82763e-15       5.17531e-01       4.02131e-02       5.17531e-01      
 5.40000e-02       8.62463e-12       2.86232e-13       1.06180e-14       7.81294e-15       5.17531e-01       4.02131e-02       5.17531e-01      
 6.30000e-02       1.15596e-11       3.76418e-13       1.05794e-14       1.04740e-14       5.17531e-01       4.02132e-02       5.17531e-01      
 7.20000e-02       1.54916e-11       4.97287e-13       1.05430e-14       1.40403e-14       5.17531e-01       4.02134e-02       5.17531e-01      
 8.10000e-02       2.07585e-11       6.59260e-13       1.05089e-14       1.88194e-14       5.17531e-01       4.02135e-02       5.17531e-01      
 9.00000e-02       2.78119e-11       8.76284e-13       1.04775e-14       2.52229e-14       5.17531e-01       4.02138e-02       5.17531e-01      
 9.90000e-02       3.72555e-11       1.16702e-12       1.04490e-14       3.38013e-14       5.17531e-01       4.02141e-02       5.17531e-01      
 1.08000e-01       4.98956e-11       1.55645e-12       1.04239e-14       4.52911e-14       5.17531e-01       4.02145e-02       5.17531e-01      
 1.17000e-01       6.68081e-11       2.07793e-12       1.04027e-14       6.06772e-14       5.17531e-01       4.02151e-02       5.17531e-01      
 1.26000e-01       8.94280e-11       2.77607e-12       1.03858e-14       8.12751e-14       5.17531e-01       4.02158e-02       5.17531e-01      
 1.35000e-01       1.19667e-10       3.71043e-12       1.03741e-14       1.08842e-13       5.17531e-01       4.02168e-02       5.17531e-01      
