
dc (V)            getData("M0:gm    getData("M0:id    getData("M0:cg    getData("M0:gd    getData("M0:vt    getData("M0:vd

 0.00000e+00       2.61609e-11       9.34832e-13       1.31808e-15       1.23436e-13       5.77359e-01       4.95962e-02      
 9.00000e-03       3.45051e-11       1.20234e-12       1.31481e-15       1.62814e-13       5.77359e-01       4.95962e-02      
 1.80000e-02       4.55097e-11       1.55685e-12       1.31163e-15       2.14752e-13       5.77359e-01       4.95962e-02      
 2.70000e-02       6.00224e-11       2.02592e-12       1.30852e-15       2.83252e-13       5.77359e-01       4.95962e-02      
 3.60000e-02       7.91608e-11       2.64592e-12       1.30548e-15       3.73595e-13       5.77359e-01       4.95962e-02      
 4.50000e-02       1.04398e-10       3.46480e-12       1.30252e-15       4.92741e-13       5.77359e-01       4.95962e-02      
 5.40000e-02       1.37676e-10       4.54580e-12       1.29963e-15       6.49868e-13       5.77359e-01       4.95963e-02      
 6.30000e-02       1.81553e-10       5.97230e-12       1.29681e-15       8.57074e-13       5.77359e-01       4.95963e-02      
 7.20000e-02       2.39401e-10       7.85422e-12       1.29407e-15       1.13030e-12       5.77359e-01       4.95964e-02      
 8.10000e-02       3.15663e-10       1.03364e-11       1.29142e-15       1.49058e-12       5.77359e-01       4.95964e-02      
 9.00000e-02       4.16190e-10       1.36099e-11       1.28885e-15       1.96560e-12       5.77359e-01       4.95965e-02      
 9.90000e-02       5.48687e-10       1.79263e-11       1.28637e-15       2.59186e-12       5.77359e-01       4.95966e-02      
 1.08000e-01       7.23298e-10       2.36171e-11       1.28399e-15       3.41743e-12       5.77359e-01       4.95968e-02      
 1.17000e-01       9.53374e-10       3.11189e-11       1.28173e-15       4.50564e-12       5.77359e-01       4.95970e-02      
 1.26000e-01       1.25648e-09       4.10067e-11       1.27959e-15       5.93986e-12       5.77359e-01       4.95972e-02      
 1.35000e-01       1.65571e-09       5.40375e-11       1.27760e-15       7.82986e-12       5.77359e-01       4.95976e-02      
 1.44000e-01       2.18142e-09       7.12076e-11       1.27577e-15       1.03201e-11       5.77359e-01       4.95980e-02      
 1.53000e-01       2.87349e-09       9.38274e-11       1.27413e-15       1.36004e-11       5.77359e-01       4.95986e-02      
 1.62000e-01       3.78426e-09       1.23620e-10       1.27270e-15       1.79207e-11       5.77359e-01       4.95994e-02      
 1.71000e-01       4.98238e-09       1.62851e-10       1.27154e-15       2.36092e-11       5.77359e-01       4.96004e-02      
 1.80000e-01       6.55733e-09       2.14492e-10       1.27063e-15       3.10965e-11       5.77359e-01       4.96018e-02      
 1.89000e-01       8.62687e-09       2.82445e-10       1.27007e-15       4.09475e-11       5.77359e-01       4.96036e-02      
 1.98000e-01       1.13446e-08       3.71824e-10       1.26993e-15       5.39029e-11       5.77359e-01       4.96059e-02      
 2.07000e-01       1.49109e-08       4.89329e-10       1.27028e-15       7.09323e-11       5.77359e-01       4.96090e-02      
 2.16000e-01       1.95867e-08       6.43728e-10       1.27120e-15       9.33036e-11       5.77359e-01       4.96130e-02      
 2.25000e-01       2.57112e-08       8.46472e-10       1.27279e-15       1.22672e-10       5.77359e-01       4.96184e-02      
 2.34000e-01       3.37239e-08       1.11250e-09       1.27517e-15       1.61196e-10       5.77359e-01       4.96253e-02      
 2.43000e-01       4.41929e-08       1.46128e-09       1.27846e-15       2.11682e-10       5.77359e-01       4.96345e-02      
 2.52000e-01       5.78500e-08       1.91807e-09       1.28282e-15       2.77772e-10       5.77359e-01       4.96465e-02      
 2.61000e-01       7.56341e-08       2.51566e-09       1.28839e-15       3.64179e-10       5.77359e-01       4.96621e-02      
 2.70000e-01       9.87442e-08       3.29638e-09       1.29537e-15       4.76979e-10       5.77359e-01       4.96825e-02      
 2.79000e-01       1.28703e-07       4.31480e-09       1.30393e-15       6.23982e-10       5.77359e-01       4.97092e-02      
 2.88000e-01       1.67435e-07       5.64093e-09       1.31428e-15       8.15171e-10       5.77359e-01       4.97438e-02      
 2.97000e-01       2.17349e-07       7.36422e-09       1.32662e-15       1.06325e-09       5.77359e-01       4.97888e-02      
